Budget Year Name,Account Type,Balance Type,Current Stage Desc,Unit And Desc,DEPT,Subunit And Desc,Child Fund And Desc,Child Project And Desc,Program And Desc,Child Acct And Desc, Year Amount SUM 
FY10-11,Expense,Estimate,pre-test Midcycle,92235 - Engineer Design: Survey and Testing Lab,Capital Improvement Projects,No SubUnit,3100 - Sewer Service Fund,"C372010 - RELIEF SEWER (54-8.400, 8.610 & 8.900)",IN06 - PROJECT DELIVERY,56611 - Work Order Expenditures," 48,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92235 - Engineer Design: Survey and Testing Lab,Capital Improvement Projects,No SubUnit,3100 - Sewer Service Fund,C372210 - RELIEF SEWER (81-3A & 3B),IN06 - PROJECT DELIVERY,56611 - Work Order Expenditures," 90,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92244 - Engineer Design: Sanitary Sewer,Capital Improvement Projects,No SubUnit,3100 - Sewer Service Fund,"C312210 - MACARTHR,64TH,SIMON,72ND AVE(84-104)",IN05 - ENGINEERING PLANNING & DESIGN,56611 - Work Order Expenditures," 187,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92244 - Engineer Design: Sanitary Sewer,Capital Improvement Projects,No SubUnit,3100 - Sewer Service Fund,C371910 - RELIEF SEWER (52.600),IN05 - ENGINEERING PLANNING & DESIGN,56611 - Work Order Expenditures," 450,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92232 - Engineer Design: Construction Services,Capital Improvement Projects,No SubUnit,3100 - Sewer Service Fund,C228910 - EMERGENCY MISC. SEWERS 2004 - 05,IN06 - PROJECT DELIVERY,56611 - Work Order Expenditures," 120,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92244 - Engineer Design: Sanitary Sewer,Capital Improvement Projects,No SubUnit,3100 - Sewer Service Fund,C228910 - EMERGENCY MISC. SEWERS 2004 - 05,IN05 - ENGINEERING PLANNING & DESIGN,56611 - Work Order Expenditures," 340,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92244 - Engineer Design: Sanitary Sewer,Capital Improvement Projects,No SubUnit,3100 - Sewer Service Fund,"C372010 - RELIEF SEWER (54-8.400, 8.610 & 8.900)",IN05 - ENGINEERING PLANNING & DESIGN,56611 - Work Order Expenditures," 240,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92235 - Engineer Design: Survey and Testing Lab,Capital Improvement Projects,No SubUnit,3100 - Sewer Service Fund,C371910 - RELIEF SEWER (52.600),IN06 - PROJECT DELIVERY,56611 - Work Order Expenditures," 90,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92235 - Engineer Design: Survey and Testing Lab,Capital Improvement Projects,No SubUnit,3100 - Sewer Service Fund,C228910 - EMERGENCY MISC. SEWERS 2004 - 05,IN06 - PROJECT DELIVERY,56611 - Work Order Expenditures," 40,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92244 - Engineer Design: Sanitary Sewer,Capital Improvement Projects,No SubUnit,3100 - Sewer Service Fund,C372210 - RELIEF SEWER (81-3A & 3B),IN06 - PROJECT DELIVERY,56611 - Work Order Expenditures," 450,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,30632 - Facilities Services: Civic Center Complex,Public Works Agency,No SubUnit,4400 - City Facilities,0000000 - UNDETERMINED PROJECT,IN02 - FACILITIES MANAGEMENT & DEVELOPMENT,56611 - Work Order Expenditures," 3,500 "
FY10-11,Expense,Estimate,pre-test Midcycle,92270 - Engineer Design: Project Management,Capital Improvement Projects,No SubUnit,"5321 - Measure DD: 2009B Clean Water,Safe Parks & Open Space Trust Fund for Oakland",C372510 - CONAGRA SITE WATERFRONT TRAIL,IN06 - PROJECT DELIVERY,56611 - Work Order Expenditures," 5,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92270 - Engineer Design: Project Management,Capital Improvement Projects,No SubUnit,"5321 - Measure DD: 2009B Clean Water,Safe Parks & Open Space Trust Fund for Oakland",C372610 - SNOW PARK/LAKESIDE RENOVATION,IN06 - PROJECT DELIVERY,56611 - Work Order Expenditures," 100,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92242 - Engineer Design: Streets and Structures,Capital Improvement Projects,No SubUnit,2141 - State Traffic Congestion Relief - Proposition 42,C369710 - STREET REHAB/RESURFACING FUND 2141,IN05 - ENGINEERING PLANNING & DESIGN,57411 - Street Construction," 2,000,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92242 - Engineer Design: Streets and Structures,Capital Improvement Projects,No SubUnit,2165 - Prop 1B Nov 2006 CA Trans Bond,C369620 - STREET REHAB/RESURFACING FUND 2165,IN05 - ENGINEERING PLANNING & DESIGN,57411 - Street Construction," 5,176,850 "
FY10-11,Expense,Estimate,pre-test Midcycle,92452 - Maintenance: Sidewalk Repair Program,Capital Improvement Projects,No SubUnit,2212 - Measure B: Bicycle/Pedestrian Pass-Thru Funds,C370610 - CITYWIDE SIDEWALK REPAIR,IN05 - ENGINEERING PLANNING & DESIGN,57411 - Street Construction," 212,500 "
FY10-11,Expense,Estimate,pre-test Midcycle,92246 - Engineer Design: Traffic / Parking,Capital Improvement Projects,No SubUnit,2140 - California Department of Transportation,C369510 - CALDECOTT TUNNEL MITIGATIONS,NB33 - TRANSPORTATION & PEDESTRIAN SAFETY,57412 - Signal and Safety Devices," 3,000,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92246 - Engineer Design: Traffic / Parking,Capital Improvement Projects,No SubUnit,2211 - Measure B: ACTIA,C371310 - TS @ ONE HIGH ACCIDENT LOCATION,NB33 - TRANSPORTATION & PEDESTRIAN SAFETY,57412 - Signal and Safety Devices," 247,500 "
FY10-11,Expense,Estimate,pre-test Midcycle,92246 - Engineer Design: Traffic / Parking,Capital Improvement Projects,No SubUnit,2211 - Measure B: ACTIA,C371410 - NTSP 2009-11,NB33 - TRANSPORTATION & PEDESTRIAN SAFETY,57412 - Signal and Safety Devices," 70,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92246 - Engineer Design: Traffic / Parking,Capital Improvement Projects,No SubUnit,2211 - Measure B: ACTIA,C371210 - TS-MODERNIZATION,NB33 - TRANSPORTATION & PEDESTRIAN SAFETY,57412 - Signal and Safety Devices," 247,500 "
FY10-11,Expense,Estimate,pre-test Midcycle,92246 - Engineer Design: Traffic / Parking,Capital Improvement Projects,No SubUnit,2211 - Measure B: ACTIA,C371010 - HAZARD ELIMINATION PROGRAM 2009-2011,NB33 - TRANSPORTATION & PEDESTRIAN SAFETY,57412 - Signal and Safety Devices," 151,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92246 - Engineer Design: Traffic / Parking,Capital Improvement Projects,No SubUnit,2212 - Measure B: Bicycle/Pedestrian Pass-Thru Funds,C371810 - PED CROSSING IMPROVEMENT @ HIGH ACCIDENT LOCATION,NB33 - TRANSPORTATION & PEDESTRIAN SAFETY,57412 - Signal and Safety Devices," 175,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92246 - Engineer Design: Traffic / Parking,Capital Improvement Projects,No SubUnit,2212 - Measure B: Bicycle/Pedestrian Pass-Thru Funds,C371610 - CIP: BICYCLE FACILITY DESIGN AND IMPL 09-11,NB33 - TRANSPORTATION & PEDESTRIAN SAFETY,57412 - Signal and Safety Devices," 108,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92246 - Engineer Design: Traffic / Parking,Capital Improvement Projects,No SubUnit,2212 - Measure B: Bicycle/Pedestrian Pass-Thru Funds,C371710 - CIP: PEDESTRIAN STREETSCAPE PROGRAM 09-11,NB33 - TRANSPORTATION & PEDESTRIAN SAFETY,57412 - Signal and Safety Devices," 112,500 "
FY10-11,Expense,Estimate,pre-test Midcycle,92242 - Engineer Design: Streets and Structures,Capital Improvement Projects,No SubUnit,2211 - Measure B: ACTIA,C370210 - REPAIR AND REHAB OF CITY PATHS AND STAIRS,IN05 - ENGINEERING PLANNING & DESIGN,57417 - Sewers," 312,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92242 - Engineer Design: Streets and Structures,Capital Improvement Projects,No SubUnit,2211 - Measure B: ACTIA,C370510 - ADA CURB RAMP 30-YR TRANSITION PLAN,IN05 - ENGINEERING PLANNING & DESIGN,57417 - Sewers," 528,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92242 - Engineer Design: Streets and Structures,Capital Improvement Projects,No SubUnit,2211 - Measure B: ACTIA,C369810 - BRIDGE MAINTENANCE 2009-2011,IN05 - ENGINEERING PLANNING & DESIGN,57417 - Sewers," 400,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92242 - Engineer Design: Streets and Structures,Capital Improvement Projects,No SubUnit,2211 - Measure B: ACTIA,C369910 - CITYWIDE EMERGENCY ROADWAY REPRS ¿ CONTINGENCY FUND,IN05 - ENGINEERING PLANNING & DESIGN,57417 - Sewers," 312,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92242 - Engineer Design: Streets and Structures,Capital Improvement Projects,No SubUnit,2211 - Measure B: ACTIA,C370610 - CITYWIDE SIDEWALK REPAIR,IN05 - ENGINEERING PLANNING & DESIGN,57417 - Sewers," 522,040 "
FY10-11,Expense,Estimate,pre-test Midcycle,92242 - Engineer Design: Streets and Structures,Capital Improvement Projects,No SubUnit,2211 - Measure B: ACTIA,C370010 - MATCHING FUNDS FOR GRANT FUNDED PROJECTS,IN05 - ENGINEERING PLANNING & DESIGN,57417 - Sewers," 750,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92244 - Engineer Design: Sanitary Sewer,Capital Improvement Projects,No SubUnit,3100 - Sewer Service Fund,C228910 - EMERGENCY MISC. SEWERS 2004 - 05,IN05 - ENGINEERING PLANNING & DESIGN,57417 - Sewers," 2,000,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,92244 - Engineer Design: Sanitary Sewer,Capital Improvement Projects,No SubUnit,3100 - Sewer Service Fund,"C312210 - MACARTHR,64TH,SIMON,72ND AVE(84-104)",IN05 - ENGINEERING PLANNING & DESIGN,57417 - Sewers," 2,400,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,88149 - CEDA Agency Operations: Other,Community and Economic Development Agency,No SubUnit,2415 - Development Service Fund,P249920 - PERTS TECHNOLOGY ENHNCMT & MAINT-DSF,IP49 - CEDA DIRECTOR'S OFFICE,"57711 - Computer Equipment (Over $5,000)"," 140,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,94461 - CIP Not PW: Communication and Information Services,Capital Improvement Projects,No SubUnit,5501 - Municipal Capital Improvement: 1989 LGFA Refunding,C381010 - SUN LEASE-PURCHASE 2009,IP65 - SERVER MAINTENANCE AND SUPPORT,"57712 - Computer Software (Over $5,000)"," 444,730 "
FY10-11,Expense,Estimate,pre-test Midcycle,08242 - Stores Operations,Finance and Management Agency,No SubUnit,4500 - Central Stores,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,"57714 - Other Fixed Assets  (Over $5,000)"," 11,040 "
FY10-11,Expense,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,58111 - Bank and Bond Expenditures," 300,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,08721 - Treasury: Operations,Finance and Management Agency,No SubUnit,3100 - Sewer Service Fund,0000000 - UNDETERMINED PROJECT,IP59 - FINANCIAL MANAGEMENT,58111 - Bank and Bond Expenditures," 15,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,30541 - Equipment Services: Administration,Public Works Agency,No SubUnit,4100 - Equipment,0000000 - UNDETERMINED PROJECT,IN01 - FLEET MANAGEMENT & MAINTENANCE,58111 - Bank and Bond Expenditures," 6,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90543 - Oakland Convention Center Lease Payment,Non Departmental and Port,No SubUnit,6014 - Oakland Convention Center 1992,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures," 6,500 "
FY10-11,Expense,Estimate,pre-test Midcycle,90541 - Museum Lease Payment,Non Departmental and Port,No SubUnit,6015 - COP-Oakland Museum 2002 Series A,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures," 5,850 "
FY10-11,Expense,Estimate,pre-test Midcycle,90545 - Special Capital Improvement Construction,Non Departmental and Port,No SubUnit,6016 - Civic Improvement Corp. 1985,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures," 12,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6027 - JPFA Capital Projects: Series 2005,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures," 6,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6030 - Taxable Pension Obligation Bonds: 1997 Series A,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures," 3,500 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6036 - JPFA Refunding Revenue Bonds: 2008 Series A-1 (Tax-Exempt Bonds),0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures," 20,800 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6063 - General Obligation Bonds: Series 2005,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures," 6,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,"6310 - Measure G: 2002A Zoo, Museum, Chabot",0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures," 9,500 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,"6311 - Measure G: 2006 Zoo, Museum",0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures," 6,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,"6320 - Measure DD: 2003A Clean Water, Safe Parks and Open Space Trust Fund for Oakland",0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures," 11,500 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6520 - Fire Area - Redemption,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures," 2,120 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6530 - Rockridge Area Water District - Redemption,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures, 850 
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6540 - Skyline Sewer District - Redemption,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures," 1,600 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6554 - LaSalle Utility Underground - Redemption,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures, 940 
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6558 - Grizzly Peak Utility Underground - Redemption,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures, 130 
FY10-11,Expense,Estimate,pre-test Midcycle,90545 - Special Capital Improvement Construction,Non Departmental and Port,No SubUnit,6612 - JPFA Lease Revenue Refunding Bonds (Admin Building): 2008 Series B,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58111 - Bank and Bond Expenditures," 10,400 "
FY10-11,Expense,Estimate,pre-test Midcycle,88579 - Commercial Lending,Community and Economic Development Agency,No SubUnit,2107 - HUD-108,G02955 - EEC-HUD 108 REVOLVING,SC04 - COMMERCIAL LENDING,58113 - Fiscal Agent Services, 940 
FY10-11,Expense,Estimate,pre-test Midcycle,62111 - Administration,Museum,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB20 - MUSEUM OVERSIGHT,58211 - Loan Principal," 38,990 "
FY10-11,Expense,Estimate,pre-test Midcycle,30541 - Equipment Services: Administration,Public Works Agency,No SubUnit,4100 - Equipment,0000000 - UNDETERMINED PROJECT,IN01 - FLEET MANAGEMENT & MAINTENANCE,58211 - Loan Principal," 853,660 "
FY10-11,Expense,Estimate,pre-test Midcycle,46231 - Technology Installation Services,Office of Communication and Information Services,No SubUnit,4210 - Telephone Equipment and Software,P281710 - NETWORK UPGRADE,IP62 - TECHNOLOGY MANAGEMENT,58211 - Loan Principal," 216,670 "
FY10-11,Expense,Estimate,pre-test Midcycle,46231 - Technology Installation Services,Office of Communication and Information Services,No SubUnit,4210 - Telephone Equipment and Software,P281810 - VOICE OVER IP LEASE,IP62 - TECHNOLOGY MANAGEMENT,58211 - Loan Principal," 177,540 "
FY10-11,Expense,Estimate,pre-test Midcycle,30632 - Facilities Services: Civic Center Complex,Public Works Agency,No SubUnit,4400 - City Facilities,0000000 - UNDETERMINED PROJECT,IN02 - FACILITIES MANAGEMENT & DEVELOPMENT,58211 - Loan Principal," 193,920 "
FY10-11,Expense,Estimate,pre-test Midcycle,30689 - Environmental Services: Energy Group,Public Works Agency,No SubUnit,4400 - City Facilities,0000000 - UNDETERMINED PROJECT,SC26 - SUSTAINABLE OAKLAND PROGRAM,58211 - Loan Principal," 36,310 "
FY10-11,Expense,Estimate,pre-test Midcycle,88579 - Commercial Lending,Community and Economic Development Agency,No SubUnit,2107 - HUD-108,G02955 - EEC-HUD 108 REVOLVING,SC04 - COMMERCIAL LENDING,58212 - Note Principal," 1,600,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,88949 - CDBG Coordination,Community and Economic Development Agency,No SubUnit,2108 - HUD-CDBG,G296310 - HUD 108 LOAN REPAYMENT RESERVES,YS11 - COMMUNITY DEVELOPMENT (CDBG),58212 - Note Principal," 350,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90511 - Coliseum Lease Payment,Non Departmental and Port,No SubUnit,6999 - Miscellaneous Debt Service,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58212 - Note Principal," 21,500,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,08931 - Parking: Meter Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP60 - PARKING MANAGEMENT,58213 - Bond Principal," 633,570 "
FY10-11,Expense,Estimate,pre-test Midcycle,62211 - Museum Services Operations,Museum,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB20 - MUSEUM OVERSIGHT,58213 - Bond Principal," 260,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90545 - Special Capital Improvement Construction,Non Departmental and Port,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 680,570 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 85,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,3100 - Sewer Service Fund,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 1,800,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90543 - Oakland Convention Center Lease Payment,Non Departmental and Port,No SubUnit,6014 - Oakland Convention Center 1992,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 11,100,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90541 - Museum Lease Payment,Non Departmental and Port,No SubUnit,6015 - COP-Oakland Museum 2002 Series A,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 3,315,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6027 - JPFA Capital Projects: Series 2005,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 6,420,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6030 - Taxable Pension Obligation Bonds: 1997 Series A,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 14,958,390 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6036 - JPFA Refunding Revenue Bonds: 2008 Series A-1 (Tax-Exempt Bonds),0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 10,540,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6037 - JPFA Refunding Revenue Bonds: 2008 Series A-2 (Taxable Bonds),0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 1,775,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6063 - General Obligation Bonds: Series 2005,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 6,492,230 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,"6310 - Measure G: 2002A Zoo, Museum, Chabot",0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 860,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,"6311 - Measure G: 2006 Zoo, Museum",0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 415,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,"6320 - Measure DD: 2003A Clean Water, Safe Parks and Open Space Trust Fund for Oakland",0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 1,575,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6570 - JPFA Pooled Assessment: 1996 Revenue Bonds - Assessment,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 10,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6580 - JPFA Pooled Assessment: 1997 Revenue Bonds,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 30,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,6585 - JPFA Reassessment District: 1999  Debt Service,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 235,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90545 - Special Capital Improvement Construction,Non Departmental and Port,No SubUnit,6612 - JPFA Lease Revenue Refunding Bonds (Admin Building): 2008 Series B,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58213 - Bond Principal," 4,455,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90545 - Special Capital Improvement Construction,Non Departmental and Port,No SubUnit,6016 - Civic Improvement Corp. 1985,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58214 - Capital Lease Obligation Principal," 3,100,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,08931 - Parking: Meter Operations,Finance and Management Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP60 - PARKING MANAGEMENT,58215 - Interest on Long-Term Debt," 112,990 "
FY10-11,Expense,Estimate,pre-test Midcycle,62211 - Museum Services Operations,Museum,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB20 - MUSEUM OVERSIGHT,58215 - Interest on Long-Term Debt," 217,830 "
FY10-11,Expense,Estimate,pre-test Midcycle,90545 - Special Capital Improvement Construction,Non Departmental and Port,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58215 - Interest on Long-Term Debt," 272,330 "
FY10-11,Expense,Estimate,pre-test Midcycle,62211 - Museum Services Operations,Museum,No SubUnit,1750 - Multipurpose Reserve,0000000 - UNDETERMINED PROJECT,NB20 - MUSEUM OVERSIGHT,58215 - Interest on Long-Term Debt," 86,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,88579 - Commercial Lending,Community and Economic Development Agency,No SubUnit,2107 - HUD-108,G02955 - EEC-HUD 108 REVOLVING,SC04 - COMMERCIAL LENDING,58215 - Interest on Long-Term Debt," 583,560 "
FY10-11,Expense,Estimate,pre-test Midcycle,88949 - CDBG Coordination,Community and Economic Development Agency,No SubUnit,2108 - HUD-CDBG,G296310 - HUD 108 LOAN REPAYMENT RESERVES,YS11 - COMMUNITY DEVELOPMENT (CDBG),58215 - Interest on Long-Term Debt," 550,000 "
FY10-11,Expense,Estimate,pre-test Midcycle,90411 - Debt Service,Non Departmental and Port,No SubUnit,3100 - Sewer Service Fund,0000000 - UNDETERMINED PROJECT,IN09 - DEBT/LEASE PAYMENTS,58215 - Interest on Long-Term Debt," 2,685,440 "
FY10-11,Expense,Estimate,pre-test Midcycle,30541 - Equipment Services: Administration,Public Works Agency,No SubUnit,4100 - Equipment,0000000 - UNDETERMINED PROJECT,IN01 - FLEET MANAGEMENT & MAINTENANCE,58215 - Interest on Long-Term Debt," 66,720 "
FY10-11,Expense,Estimate,pre-test Midcycle,46231 - Technology Installation Services,Office of Communication and Information Services,No SubUnit,4210 - Telephone Equipment and Software,P281710 - NETWORK UPGRADE,IP62 - TECHNOLOGY MANAGEMENT,58215 - Interest on Long-Term Debt," 16,960 "
FY10-11,Expense,Estimate,pre-test Midcycle,46231 - Technology Installation Services,Office of Communication and Information Services,No SubUnit,4210 - Telephone Equipment and Software,P281810 - VOICE OVER IP LEASE,IP62 - TECHNOLOGY MANAGEMENT,58215 - Interest on Long-Term Debt," 14,700 "
FY10-11,Expense,Estimate,pre-test Midcycle,30632 - Facilities Services: Civic Center Complex,Public Works Agency,No SubUnit,4400 - City Facilities,0000000 - UNDETERMINED PROJECT,IN02 - FACILITIES MANAGEMENT & DEVELOPMENT,58215 - Interest on Long-Term Debt," 98,280 "
FY10-11,Expense,Estimate,pre-test Midcycle,30689 - Environmental Services: Energy Group,Public Works Agency,No SubUnit,4400 - City Facilities,0000000 - UNDETERMINED PROJECT,SC26 - SUSTAINABLE OAKLAND PROGRAM,58215 - Interest on Long-Term Debt," 46,650 "
